PROBATION_AREA_DESCRIPTION,PAR_Trim,NOMS_REGION_DESCRIPTION,prob_area,NPS_Division,CRC_Area,NPS_CRC_NAME,SUP_BODY
NPS - Bournemouth,NPS - Bournemouth,NPS-South West & South Central,NPS - Bournemouth & Poole,South West,,South West & South Central,b. NPS
NPS - North & West Cumbria,NPS - North & West Cumbria,PS-North West,Cumbria,North West,,North West,b. PS
NPS - South Cumbria,NPS - South Cumbria,PS-North West,Cumbria,North West,,North West,b. PS
NPS - Swindon,PS - Swindon and Wiltshire,PS-South West,Swindon and Wiltshire,South West,,South West,b. PS
NPS - Weymouth,NPS - Weymouth,PS-South West,Dorset,South West,,South West,b. PS
NPS - Wiltshire,PS - Swindon and Wiltshire,PS-South West,Swindon and Wiltshire,South West,,South West,b. PS
PS - Barrow,PS - Barrow,PS-North West,Barrow,North West,,North West,b. PS
PS - Carlisle,PS - Carlisle,PS-North West,Carlisle,North West,,North West,b. PS
PS - Accrington,PS - Accrington,PS-North West,Accrington,North West,,North West,b. PS
PS - Workington,PS - Workington,PS-North West,Workington,North West,,North West,b. PS
PS - Kendal,PS - Kendal,PS-North West,Kendal,North West,,North West,b. PS
